"scenario","core","model_threads","rng_threads","rng_prefetch","avg_s","min_s","max_s"
"model1_rng16","v2","1","16","65536","14,803267","14,755106","14,866448"
"modelopt_16t","v2","16","1","65536","1,075339","1,071117","1,079564"
"modelopt_1t","v2","1","1","65536","14,193056","14,041062","14,292529"
"new_seird_16t","v2","16","1","65536","1,121634","1,101677","1,153967"
"new_seird_1t","v2","1","1","65536","14,5183","14,462728","14,604979"
"model1_rng16","v3","1","16","65536","14,857616","14,6885","14,970409"
"modelopt_16t","v3","16","1","65536","1,076338","1,07214","1,080328"
"modelopt_1t","v3","1","1","65536","14,095923","14,053976","14,177308"
"new_seird_16t","v3","16","1","65536","1,10789","1,091593","1,136813"
"new_seird_1t","v3","1","1","65536","14,444446","14,35677","14,583768"
"model1_rng16","v4","1","16","65536","14,900274","14,68001","15,016465"
"modelopt_16t","v4","16","1","65536","1,080063","1,076996","1,082693"
"modelopt_1t","v4","1","1","65536","14,036718","13,983219","14,064208"
"new_seird_16t","v4","16","1","65536","1,136015","1,107885","1,155325"
"new_seird_1t","v4","1","1","65536","14,510931","14,449389","14,588083"
