"family","core","run_id","time_total_s"
"old_arch","v1","1","175,196595"
"old_arch","v1","2","174,56845"
"old_arch","v1","3","195,005084"
"old_arch","v2","1","333,557309"
"old_arch","v2","2","328,80886"
"old_arch","v2","3","326,516177"
"old_arch","v3","1","329,56101"
"old_arch","v3","2","334,107824"
"old_arch","v3","3","324,969814"
"old_arch","v4","1","331,977722"
"old_arch","v4","2","330,51473"
"old_arch","v4","3","330,260009"
"opt_seird_t1","v2","1","15,326593"
"opt_seird_t1","v2","2","15,425165"
"opt_seird_t1","v2","3","16,033312"
"opt_seird_t1","v4","1","15,433215"
"opt_seird_t1","v4","2","15,375936"
"opt_seird_t1","v4","3","15,387122"
"opt_seird_t1","v3","1","16,158716"
"opt_seird_t1","v3","2","16,176718"
"opt_seird_t1","v3","3","15,385417"
"opt_seird_t1","v1","1","18,623679"
"opt_seird_t1","v1","2","18,536474"
"opt_seird_t1","v1","3","18,662159"
